drug,conn_score,n_sigs,state_id
manumycin-a,-9.135606728168543,2,A0_L1_9
linsitinib,-9.095034042780375,4,A3_L1_5
PAC-1,-9.087015316213195,4,A3_L1_7
MK-1775,-9.069950201812926,4,A1_L1_8
Y-27632,-9.064795764169803,4,A3_L1_7
PF-3845,-9.057506330131876,4,A1_basin_edge_0
curcumin,-9.054228484006018,7,A1_L1_5
thioridazine,-9.045322832202253,4,A3_L1_7
dalcetrapib,-9.031268366824628,4,A3_L1_5
QS-11,-9.028300681748682,4,A2_L1_3
JZL-184,-9.012238283843155,4,A0_L1_8
paclitaxel,-8.992798966209499,2,A0_L1_13
XAV-939,-8.986832897355452,4,A1_L1_14
ABT-737,-8.982485816886042,4,A3_L1_7
FGIN-1-27,-8.971580739363155,4,A0_L1_13
menadione,-8.966885573999463,4,A1_L1_1
BRD-K77432048,-8.9606369356633,4,A3_L1_3
LE-135,-8.957909666441678,4,A1_L1_13
UTMB-00042,-8.944149208464273,16,A0_L1_13
flutamide,-8.932823700090253,4,A0_L1_8
SB-216763,-8.931680865159446,4,A1_L1_13
L-690330,-8.906911235350563,4,A2_L1_7
MW-STK33-1C,-8.889692752185205,16,A3_L1_5
BRD-K59019422,-8.874812132386353,4,A1_L1_1
importazole,-8.859474045358823,3,A0_L1_9
SCH-79797,-8.856001549463588,4,A2_L1_9
kinetin-riboside,-8.853759154537869,4,A3_L1_3
bisindolylmaleimide,-8.817787245248237,4,A3_L1_9
PNU-74654,-8.810555032113681,4,A2_L1_7
AG-14361,-8.795496353686609,4,A1_L1_5
NFKB-activation-inhibitor-II,-8.791024993157142,4,A3_L1_0
PT-630,-8.785118018847404,4,A3_L1_5
quinine,-8.775090066906845,4,A0_L1_8
PP-30,-8.767079904497788,4,A0_L1_11
thiazolopyrimidine,-8.765289693295855,4,A0_L1_13
blebbistatin,-8.760925483362234,4,A1_L1_5
tyrphostin-1,-8.746792648451892,4,A0_L1_8
fluoropyruvate,-8.738081981853066,4,A0_L1_13
oligomycin-a,-8.738046669356489,4,A3_L1_1
orteronel,-8.71382364188375,4,A3_L1_3
darinaparsin,-8.711634715948927,4,A0_L1_11
erastin,-8.7078425442433,4,A3_L1_5
BG-STK33-03,-8.703090456646606,16,A0_L1_9
BRD-K89329876,-8.69702808206464,4,A0_L1_13
methylene-blue,-8.694149739407964,4,A3_L1_13
MK-1775,-8.67846618371783,4,A0_L1_11
AKT-inhibitor-1-2,-8.659165696305148,4,A3_L1_7
parbendazole,-8.654971538808796,4,A3_L1_9
alda-1,-8.651283704979011,4,A0_L1_13
BRD-K59019422,-8.632749018266233,4,A3_L1_1
bisindolylmaleimide,-8.625926483350666,4,A1_basin_edge_0
AKT-inhibitor-IV,-8.61882491590026,1,A0_L1_8
valdecoxib,-8.600330811709384,4,A3_L1_1
LY-2183240,-8.595132723987874,4,A2_L1_0
"2',5'-dideoxyadenosine",-8.589116061568587,4,A2_L1_0
7-nitroindazole,-8.587729385785641,4,A3_L1_1
TG-101348,-8.544133362017892,4,A3_L1_9
idarubicin,-8.543170183338905,4,A2_L1_9
carbamazepine,-8.524309647042788,4,A1_basin_edge_0
COT-10b,-8.483654627909928,4,A0_L1_8
"16,16-dimethylprostaglandin-e2",-8.482998822217468,4,A1_L1_8
BRD-K73261812,-8.472455461626456,4,A2_L1_12
CHEMBL-399379,-8.472216872509115,3,A1_L1_0
losartan,-8.462259249141093,4,A1_L1_13
teniposide,-8.460495549191661,4,A3_L1_9
brefeldin-a,-8.457478350377048,4,A0_L1_8
darinaparsin,-8.455577888951403,4,A3_L1_5
vemurafenib,-8.453617629596923,4,A3_L1_5
BRD-K56477805,-8.45122621921373,4,A1_L1_1
elesclomol,-8.449448549516568,4,A1_L1_5
endo-IWR-1,-8.44664969357071,4,A1_L1_5
STK-064652,-8.424390323626566,4,A1_L1_14
BRD-K89329876,-8.404095549045108,4,A0_L1_11
K1448,-8.380665984602171,2,A1_basin_edge_0
resveratrol,-8.377608999078257,4,A0_L1_13
pifithrin-alpha,-8.37408879694176,4,A1_L1_5
narciclasine,-8.364198031581225,2,A3_L1_9
XAV-939,-8.360627186800327,4,A3_L1_1
SCH-79797,-8.35776369805039,4,A1_L1_13
perhexiline,-8.351482769271541,4,A2_L1_12
MK-1775,-8.34672627702517,4,A1_L1_14
cucurbitacin-i,-8.339617156943566,3,A2_L1_9
BRD-K35716340,-8.337671072852123,4,A1_L1_14
rucaparib,-8.331885377110696,4,A3_L1_13
BRD-A98248982,-8.331795003544878,4,A1_L1_5
7-nitroindazole,-8.331777043258661,4,A1_L1_5
gemcitabine,-8.316828354139583,4,A1_L1_13
chaetocin,-8.291114403524306,4,A1_L1_8
UNC-0321,-8.278903152117067,4,A3_L1_13
"2',5'-dideoxyadenosine",-8.276376731828908,4,A0_L1_11
GW-405833,-8.272613328298826,4,A1_L1_14
bortezomib,-8.257177110853698,4,A1_L1_1
phorbol-myristate-acetate,-8.251337738383839,15,A1_L1_13
CI-976,-8.232695277684327,4,A1_L1_1
BRD-A56001686,-8.229098933858396,2,A1_L1_0
Y-27632,-8.225579158220548,4,A0_L1_11
CD-437,-8.21976035899625,4,A2_L1_12
CHEMBL-1222381,-8.218395971947492,4,A1_basin_edge_0
clonidine,-8.205214867690533,4,A2_L1_3
PK-11195,-8.203814487345879,4,A1_L1_12
BRD-K78716413,-8.200246439699404,4,A0_L1_13
piperlongumine,-8.195062916303044,4,A0_L1_8
BRD-K92317137,-8.19306507341128,4,A1_L1_8
artesunate,-8.179798471411061,4,A1_L1_12
