state_id,drug,n_samples,spearman_rho,p_value,q_value
A2_L1_0,H-89,413,-0.125,0.011021989839213861,0.1129526231456627
A0_L1_4,Imatinib,505,-0.1248,0.004958979895263329,0.06742472664612421
A3_L1_8,SNS-032 (BMS-387032),458,-0.1247,0.007561937634644205,0.0906847453284218
A3_L1_7,Elesclomol,431,-0.1246,0.009592798431667453,0.10582802540273702
A1_L1_9,LY294002,86,-0.1241,0.2549046148765174,0.5982363580521327
A1_L1_14,Baiclein,45,-0.1238,0.4179482947217181,0.7342815039032735
A0_L1_6,TG101348,85,-0.1238,0.25884242347319497,0.5991688899460718
A1_L1_0,Rapamycin,466,-0.1238,0.0074805213515360585,0.09010219108433948
A1_L1_2,Lestaurtinib (CEP-701),84,-0.1237,0.2623354197081522,0.6023998526631643
A2_L1_9,LY-333531,415,-0.1237,0.011641669962991407,0.11659310922981728
A1_L1_6,Vandetanib (ZD6474),481,-0.1236,0.006629353576165925,0.08286691970207406
A2_L1_7,LY294002,86,-0.1232,0.2584888299291774,0.5991688899460718
A1_L1_1,Bosutinib (SKI-606),456,-0.1232,0.00843030968485409,0.09824797001145745
A2_L1_4,CYT387,455,-0.1232,0.008503329033638565,0.09891302065395703
A3_L1_5,XAV-939,270,-0.1229,0.04358394116925469,0.24597423238400332
A3_L1_3,Gilteritinib,278,-0.1228,0.04076978057320483,0.23736239358021996
A3_L1_9,Ralimetinib (LY2228820),42,-0.1228,0.43862790632250215,0.7488010925465267
A3_L1_3,Midostaurin,462,-0.1227,0.008310677198360813,0.09740302198456907
A0_L1_2,Go6976,85,-0.1225,0.26421989222392595,0.6040425264706272
A1_L1_7,JNJ-7706621,457,-0.1223,0.008891033888397105,0.10114570662029734
A3_L1_5,p38 MAP Kinase Inhibitor,85,-0.1223,0.26468336756531663,0.6044104917865071
A1_L1_16,Idelalisib,444,-0.1222,0.009985775462147437,0.10899966173470794
A1_L1_2,YM-155,459,-0.1217,0.009030101761217685,0.10179170474370268
A1_L1_16,SB-203580,85,-0.1216,0.2674615441570351,0.6077606613182756
A1_L1_3,Perhexiline maleate,37,-0.1216,0.4733294067394269,0.7722742952064334
A1_L1_6,Tozasertib (VX-680),458,-0.1216,0.00918922727866384,0.1026544308607492
A1_L1_7,Ibrutinib (PCI-32765),438,-0.1214,0.011009101692719495,0.1129526231456627
A3_L1_10,Ponatinib (AP24534),301,-0.1213,0.035482512913632774,0.22013492879548405
A2_L1_9,Sorafenib,494,-0.121,0.007099012464272399,0.08715619263067104
A3_L1_13,GSK-1904529A,452,-0.1208,0.010148917731339281,0.11039173672684832
A1_L1_1,Rapamycin,466,-0.1207,0.009121326309901054,0.10207982512885655
A0_L1_13,DBZ,366,-0.1205,0.02117426076435893,0.16430590330291034
A1_L1_16,Bortezomib (Velcade),463,-0.1201,0.009719502814482407,0.10684559831523212
A0_L1_8,Imatinib,505,-0.1198,0.007025420663679427,0.08642382562462787
A1_L1_16,PP242,458,-0.1197,0.01033938232846494,0.11148551380257848
A1_L1_8,AZD1152-HQPA (AZD2811),455,-0.1197,0.010609442079766827,0.11233807150642625
A1_L1_0,GW-2580,440,-0.1195,0.012113451099891603,0.11864675642863813
A2_L1_0,GSK-2879552,84,-0.1192,0.27997604194337056,0.6227727737672613
A1_L1_0,VX-745,457,-0.1189,0.010952868144964097,0.1129526231456627
A1_L1_5,KW-2449,449,-0.1189,0.01169840809419622,0.11679570077941477
A1_L1_0,Go6976,85,-0.1188,0.2786514638616146,0.6219003153138987
A3_L1_5,AKT Inhibitor IV,83,-0.1186,0.28568741631011535,0.6283298975249079
A0_L1_6,Perhexiline maleate,37,-0.1185,0.48469590777761196,0.7785271057567861
A2_L1_0,KW-2449,449,-0.1183,0.012148898489928103,0.11880626283525905
A0_L1_4,BLZ945,45,-0.1183,0.43889405972807716,0.7488010925465267
A1_L1_16,Go6976,85,-0.1182,0.28132646037140224,0.6240515400009639
A1_L1_14,JQ1,348,-0.1182,0.027478646201064806,0.19124353184678802
A1_L1_5,JNK Inhibitor II,82,-0.1181,0.29045865805117155,0.6327160635552465
A1_L1_16,CI-1040 (PD184352),461,-0.1181,0.01114999143223202,0.11314230258566045
A1_L1_8,Pelitinib (EKB-569),452,-0.1181,0.011959518584519166,0.11807168029302362
A0_L1_2,VX-745,457,-0.118,0.011556746064169449,0.1163178986978094
A1_L1_10,AZD1152-HQPA (AZD2811),455,-0.1179,0.01181801095599431,0.11723466868346356
