group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
A1_basin_edge_0,TUBA1B,9.503868,1.0567212,2.0223550654276097e-21,1.2034510175893226e-19,0.4671307037896365,0.3106325927547335
A1_basin_edge_0,AHSP,9.41063,2.714042,4.931694843736741e-21,2.845208563694274e-19,0.20185614849187936,0.051466564517894275
A1_basin_edge_0,REXO2,9.330792,1.5723871,1.0508265505628912e-20,5.948074814506931e-19,0.2768754833720031,0.12739411185290578
A1_basin_edge_0,METAP2,9.309658,1.1007253,1.2824461478031767e-20,7.1247008211287605e-19,0.4060324825986079,0.2644741162307103
A1_basin_edge_0,GUCY1A3,9.200611,1.5549285,3.5591979372568e-20,1.941380693049164e-18,0.28074245939675174,0.13327678669147422
A1_basin_edge_0,HNRNPC,9.187778,0.7528294,4.0103918573417905e-20,2.1484242092902446e-18,0.6867749419953596,0.5788004815584984
A1_basin_edge_0,SRSF3,9.161812,0.82265997,5.1033285695666315e-20,2.685962405035069e-18,0.6419180201082754,0.5222994418299223
A1_basin_edge_0,TMEM14B,9.086722,1.1084652,1.0206931801769631e-19,5.189965322933711e-18,0.3905645784996133,0.25872824778373643
A1_basin_edge_0,SRSF6,9.0663395,0.9377215,1.23082116143933e-19,6.15410580719665e-18,0.49497293116782676,0.35222173579949656
A1_basin_edge_0,CA1,8.969057,2.686,2.9906269890923377e-19,1.4708001585700022e-17,0.19180201082753287,0.0475812629966072
A1_basin_edge_0,HIST1H1B,8.921765,1.323769,4.589146005545319e-19,2.220554518812251e-17,0.32791956689868523,0.1888749042355259
A1_basin_edge_0,CENPU,8.864787,1.3848422,7.6650289650243695e-19,3.5929823273551735e-17,0.2907965970610982,0.15040494691912007
A1_basin_edge_0,HBD,8.810489,2.180942,1.2460093097830016e-18,5.750812198998469e-17,0.2111368909512761,0.06933347926015103
A1_basin_edge_0,GYPC,8.743856,1.172221,2.2528509551056977e-18,1.0240231614116808e-16,0.3395204949729312,0.19653606216482433
A1_basin_edge_0,MPC2,8.544741,1.3361652,1.2882548436637856e-17,5.683477251457878e-16,0.279969064191802,0.1403907190543942
A1_basin_edge_0,ANGPT1,8.472486,1.5087202,2.4021164992213215e-17,1.0443984779223138e-15,0.2590873936581593,0.12320783627011055
A1_basin_edge_0,SMC4,8.347594,0.96964025,6.966747616634128e-17,2.9436961760425893e-15,0.41840680587780354,0.2845299332384809
A2_L1_0,RPLP0,18.761284,1.6290139,1.5657002262369132e-78,4.69710067871074e-75,0.9903614457831326,0.920082295730241
A2_L1_0,LRRC75A-AS1,16.246187,2.290069,2.3769456032607456e-59,3.5654184048911184e-56,0.8746987951807229,0.6145727569069631
A2_L1_0,CDK6,15.110762,2.6533792,1.3753975275974797e-51,1.0315481456981099e-48,0.7662650602409639,0.41623470314754446
A2_L1_0,RPL17,14.845929,1.0504537,7.392336829989264e-50,4.435402097993558e-47,0.9927710843373494,0.9662534067225993
A2_L1_0,GAPDH,12.925304,1.6798158,3.2401216421068827e-38,1.6200608210534414e-35,0.8289156626506025,0.6495217228664565
A2_L1_0,RPSA,12.845732,1.1788538,9.088868818755596e-38,3.895229493752398e-35,0.9421686746987952,0.8640517287447229
A2_L1_0,SPINK2,12.791795,2.9200716,1.8221751118390096e-37,6.833156669396286e-35,0.5397590361445783,0.19275370063592157
A2_L1_0,NPM1,12.176431,1.3922589,4.150503309668922e-34,1.383501103222974e-31,0.8891566265060241,0.761876770159782
A2_L1_0,HLA-DRA,12.137409,2.0265055,6.691113480960839e-34,2.0073340442882515e-31,0.7614457831325301,0.4822048843050286
A2_L1_0,FLT3,11.46793,2.3185992,1.911771136666355e-30,5.213921281817332e-28,0.5445783132530121,0.24202426120878534
A2_L1_0,RPS25,11.330936,0.72376055,9.221336328456002e-30,2.3053340821140002e-27,0.9855421686746988,0.9810292310158714
A2_L1_0,FAM30A,10.61637,2.5777025,2.5009874578549384e-26,5.771509518126781e-24,0.4433734939759036,0.14992251376048737
A2_L1_0,GUCY1A3,10.057146,2.5786698,8.543899431427381e-24,1.8308355924487244e-21,0.41204819277108434,0.13528028643189227
A2_L1_0,SOX4,9.69839,2.025982,3.0629362739819187e-22,6.125872547963838e-20,0.4939759036144578,0.24549778229038635
A2_L1_0,YBX1,9.612159,0.9561983,7.104331467973195e-22,1.332062150244974e-19,0.9060240963855422,0.827499599209106
A2_L1_0,ANGPT1,9.457028,2.549998,3.1681898886662427e-21,5.590923332940428e-19,0.3855421686746988,0.12499332015176615
A2_L1_0,HSPD1,8.691907,1.4168113,3.564073360045455e-18,5.940122266742425e-16,0.6602409638554216,0.46603965157911614
A2_L1_0,HLA-DPA1,8.192183,1.654485,2.5653143323576193e-16,3.847971498536429e-14,0.4867469879518072,0.27553037994976753
A2_L1_0,YWHAE,8.075021,1.18875,6.746538506170745e-16,9.637912151672494e-14,0.6313253012048192,0.4854379308502111
A2_L1_0,PTTG1IP,6.6200705,1.3754656,3.5902756720535604e-11,4.3083308064642726e-09,0.42650602409638555,0.277534334419922
A2_L1_0,BCAT1,6.0820837,1.789434,1.1863046197051914e-09,1.3181162441168795e-07,0.29397590361445786,0.12782557580291776
A2_L1_0,SRSF3,5.9390535,0.8282903,2.866722787814553e-09,3.071488701229878e-07,0.6240963855421687,0.5253032651098167
A2_L1_0,AIF1,5.7996016,1.0059241,6.647258288405625e-09,6.647258288405624e-07,0.6120481927710844,0.4639288195372201
A2_L1_0,CPT1A,5.747176,1.3244139,9.074622736638495e-09,8.781892970940479e-07,0.36626506024096384,0.22342756372575215
A2_L1_0,CAT,5.482027,1.0806735,4.204803884724779e-08,3.6041176154783817e-06,0.4433734939759036,0.3199112916154545
A2_L1_0,SRSF6,5.414785,0.99825937,6.136238560887221e-08,5.113532134072684e-06,0.4746987951807229,0.3557954363276866
A2_L1_0,HNRNPC,4.9702134,0.62268186,6.687919681510288e-07,5.279936590666017e-05,0.6457831325301204,0.5817880617752365
A2_L1_0,ANKRD28,4.9239783,0.9810888,8.480230370250055e-07,6.523254130961581e-05,0.43132530120481927,0.3149682039224069
A2_L1_0,CD47,4.7226863,0.7803667,2.327495517799464e-06,0.00017456216383495977,0.5132530120481927,0.42123122962646287
A2_L1_0,ITM2C,4.7018538,1.4871941,2.578098617823279e-06,0.00018553871514185902,0.25542168674698795,0.1286805963768503
A2_L1_0,C8orf59,4.5998716,0.93437576,4.227510975680108e-06,0.0002757072375443549,0.4072289156626506,0.30871586597552503
A2_L1_0,NUCB2,4.5719385,0.80042475,4.832327983485215e-06,0.00030844646703097117,0.5108433734939759,0.41139849302623843
A2_L1_0,ATXN7L3B,4.554603,1.2296315,5.248452243863123e-06,0.00032802826524144514,0.29397590361445786,0.17517234008443328
A2_L1_0,AKR1C3,4.495079,1.6429954,6.9544101483175635e-06,0.00040121597009524406,0.2216867469879518,0.09798001389408433
A2_L1_0,BAALC,4.43616,2.245094,9.157767173306446e-06,0.0005121376348822934,0.17590361445783131,0.05196921925933843
A2_L1_0,COX5A,4.4347367,0.8288725,9.21847742788128e-06,0.0005121376348822934,0.43373493975903615,0.3415807192860578
A2_L1_0,SELENOP,4.3508716,2.0242243,1.355974284142228e-05,0.0007264147950761936,0.1855421686746988,0.06511516058355155
A2_L1_0,COMT,4.3096223,1.3108872,1.6353354660500242e-05,0.0008607028768684338,0.25783132530120484,0.14399080852883023
A2_L1_0,STON2,4.2157736,1.662218,2.48923564683347e-05,0.0012875356793966223,0.2,0.08146742906001175
