state_id,library,term,p_value,adj_p_value,overlap,overlap_genes
A1_L1_15,Reactome_2022,"Cell Cycle, Mitotic R-HSA-69278",4.433396777638979e-09,4.4333967776389795e-08,12/523,"BIRC5,CCNB1,CDK6,CENPF,HSP90AA1,PCM1,PTTG1,SMC4,TOP2A,TPX2,TUBA1B,YWHAE"
A1_L1_15,Reactome_2022,Cell Cycle R-HSA-1640170,5.0581030820093605e-09,2.5290515410046802e-08,13/654,"BIRC5,CCNB1,CDK6,CENPF,HSP90AA1,NPM1,PCM1,PTTG1,SMC4,TOP2A,TPX2,TUBA1B,YWHAE"
A3_L1_4,MSigDB_Hallmark_2020,E2F Targets,4.320037594581411e-17,4.3200375945814114e-16,14/200,"BIRC5,BRCA1,CKS1B,DUT,HMGB2,MCM4,MKI67,PAICS,PCNA,SMC4,STMN1,TMPO,TOP2A,TUBB"
A3_L1_4,Reactome_2022,Cell Cycle R-HSA-1640170,5.443966056225768e-16,5.4439660562257675e-15,19/654,"BIRC5,BRCA1,CDK6,CENPF,CENPU,CKS1B,DHFR,HSP90AA1,MCM4,NPM1,PCNA,PRIM1,SMC4,TMPO,TOP2A,TPX2,TUBA1B,TUBB,YWHAE"
A3_L1_4,MSigDB_Hallmark_2020,G2-M Checkpoint,1.7318806790888285e-15,8.659403395444143e-15,13/200,"BIRC5,CENPF,CKS1B,HMGN2,KIF11,MKI67,NCL,NUSAP1,SMC4,STMN1,TMPO,TOP2A,TPX2"
A3_L1_3,KEGG_2021_Human,Rheumatoid arthritis,8.565906756501828e-05,0.0008565906756501828,4/93,"ANGPT1,HLA-DPA1,HLA-DRA,IL1B"
A3_L1_3,KEGG_2021_Human,Hematopoietic cell lineage,0.00010922932408708842,0.0005461466204354421,4/99,"FLT3,HLA-DPA1,HLA-DRA,IL1B"
A3_L1_3,KEGG_2021_Human,Graft-versus-host disease,0.0001575744765488934,0.000525248255162978,3/42,"HLA-DPA1,HLA-DRA,IL1B"
A1_L1_6,Reactome_2022,Neutrophil Degranulation R-HSA-6798695,1.2700006125292646e-09,1.2700006125292645e-08,12/468,"AZU1,CST3,CTSG,ELANE,HMGB1,HSP90AA1,LYZ,MPO,PLAC8,RNASE2,TUBB,TYROBP"
A1_L1_6,MSigDB_Hallmark_2020,G2-M Checkpoint,1.4679850449042865e-09,1.4679850449042865e-08,9/200,"CENPF,HMGN2,MKI67,NCL,NUSAP1,SMC2,STMN1,TMPO,TOP2A"
A1_L1_6,MSigDB_Hallmark_2020,E2F Targets,1.4679850449042865e-09,7.339925224521433e-09,9/200,"ATAD2,HMGB2,MCM4,MKI67,PCNA,STMN1,TMPO,TOP2A,TUBB"
A3_L1_10,Reactome_2022,Interleukin-7 Signaling R-HSA-1266695,0.0017712563749247825,0.017712563749247824,2/25,"IL7R,JAK1"
A3_L1_10,Reactome_2022,FCERI Mediated Ca+2 Mobilization R-HSA-2871809,0.0023818554615420923,0.01190927730771046,2/29,"ITK,TXK"
A3_L1_10,KEGG_2021_Human,Th17 cell differentiation,0.0024308069164298645,0.024308069164298646,3/107,"CD3D,JAK1,RORA"
